iter	Passed	Remaining
655	3048	1598
656	3055	1594
657	3059	1590
658	3072	1589
659	3077	1585
660	3084	1581
661	3092	1578
662	3099	1575
663	3103	1570
664	3107	1565
665	3111	1560
666	3117	1556
667	3120	1550
668	3123	1545
669	3126	1539
670	3133	1536
671	3136	1530
672	3139	1525
673	3142	1519
674	3147	1515
675	3150	1510
676	3153	1504
677	3156	1498
678	3162	1495
679	3165	1489
680	3168	1484
681	3171	1478
682	3177	1474
683	3180	1469
684	3183	1463
685	3186	1458
686	3192	1454
687	3196	1449
688	3200	1444
689	3206	1440
690	3210	1435
691	3214	1430
692	3216	1425
693	3223	1421
694	3226	1415
695	3228	1410
696	3231	1404
697	3237	1400
698	3241	1395
699	3243	1390
700	3246	1384
701	3252	1380
702	3255	1375
703	3258	1369
704	3261	1364
705	3269	1361
706	3271	1355
707	3274	1350
708	3277	1345
709	3284	1341
710	3288	1336
711	3291	1331
712	3298	1327
713	3302	1322
714	3304	1317
715	3308	1312
716	3314	1308
717	3317	1303
718	3320	1297
719	3323	1292
720	3329	1288
721	3332	1283
722	3334	1277
723	3337	1272
724	3343	1268
725	3347	1263
726	3350	1258
727	3354	1253
728	3360	1249
729	3363	1243
730	3365	1238
731	3370	1233
732	3374	1229
733	3378	1224
734	3381	1219
735	3389	1215
736	3392	1210
737	3396	1205
738	3400	1201
739	3405	1196
740	3408	1191
741	3411	1186
742	3417	1182
743	3420	1177
744	3424	1172
745	3427	1167
746	3433	1162
747	3437	1158
748	3441	1153
749	3455	1151
750	3458	1146
751	3463	1142
752	3467	1137
753	3470	1132
754	3473	1127
755	3481	1123
756	3486	1119
757	3489	1113
758	3496	1110
759	3499	1105
760	3503	1100
761	3513	1097
762	3517	1092
763	3529	1090
764	3532	1085
765	3536	1080
766	3545	1076
767	3548	1072
768	3557	1068
769	3560	1063
770	3563	1058
771	3567	1053
772	3575	1049
773	3578	1044
774	3589	1042
775	3595	1038
776	3604	1034
777	3609	1029
778	3612	1024
779	3621	1021
780	3625	1016
781	3633	1012
782	3637	1008
783	3641	1003
784	3647	999
785	3651	994
786	3654	989
787	3659	984
788	3664	980
789	3667	975
790	3674	970
791	3679	966
792	3682	961
793	3686	956
794	3692	952
795	3696	947
796	3699	942
797	3703	937
798	3707	932
799	3710	927
800	3713	922
801	3716	917
802	3722	913
803	3725	908
804	3728	903
805	3731	898
806	3736	893
807	3744	889
808	3752	885
809	3756	881
810	3759	876
811	3766	872
812	3771	867
813	3774	862
814	3780	858
815	3784	853
816	3787	848
817	3791	843
818	3798	839
819	3801	834
820	3805	829
821	3808	824
822	3812	819
823	3815	815
824	3818	809
825	3822	805
826	3828	800
827	3832	796
828	3839	791
829	3842	787
830	3845	782
831	3849	777
832	3857	773
833	3860	768
834	3864	763
835	3872	759
836	3876	754
837	3878	749
838	3886	745
839	3889	740
840	3892	735
841	3895	730
842	3902	726
843	3905	721
844	3908	716
845	3915	712
846	3918	707
847	3922	703
848	3930	699
849	3935	694
850	3943	690
851	3949	686
852	3959	682
853	3965	677
854	3974	674
855	3979	669
856	3984	664
857	3989	660
858	3994	655
859	4001	651
860	4004	646
861	4007	641
862	4010	636
863	4017	632
864	4020	627
865	4024	622
866	4027	617
867	4033	613
868	4038	608
869	4042	604
870	4049	599
871	4053	594
872	4056	590
873	4063	585
874	4067	581
875	4070	576
876	4073	571
877	4079	566
878	4084	562
879	4087	557
880	4093	552
881	4097	548
882	4100	543
883	4103	538
884	4110	534
885	4113	529
886	4117	524
887	4120	519
888	4126	515
889	4130	510
890	4133	505
891	4139	501
892	4144	496
893	4147	491
894	4154	487
895	4157	482
896	4160	477
897	4163	472
898	4170	468
899	4173	463
900	4175	458
901	4179	454
902	4186	449
903	4189	444
904	4192	440
905	4194	435
906	4202	430
907	4207	426
908	4210	421
909	4218	417
910	4220	412
911	4223	407
912	4229	403
913	4234	398
914	4237	393
915	4244	389
916	4248	384
917	4251	379
918	4254	374
919	4261	370
920	4264	365
921	4268	361
922	4272	356
923	4275	351
924	4279	346
925	4282	342
926	4288	337
927	4292	333
928	4295	328
929	4298	323
930	4305	319
931	4308	314
932	4312	309
933	4318	305
934	4321	300
935	4325	295
936	4329	291
937	4336	286
938	4340	281
939	4344	277
940	4352	272
941	4355	268
942	4358	263
943	4363	258
944	4367	254
945	4370	249
946	4373	244
947	4380	240
948	4383	235
949	4385	230
950	4388	226
951	4395	221
952	4398	216
953	4401	212
954	4405	207
955	4412	203
956	4415	198
957	4418	193
958	4422	189
959	4427	184
960	4430	179
961	4434	175
962	4442	170
963	4445	166
964	4449	161
965	4455	156
966	4458	152
967	4462	147
968	4465	142
969	4471	138
970	4475	133
971	4477	128
972	4480	124
973	4486	119
974	4489	115
975	4492	110
976	4495	105
977	4501	101
978	4504	96
979	4506	91
980	4510	87
981	4518	82
982	4521	78
983	4524	73
984	4533	69
985	4536	64
986	4538	59
987	4541	55
988	4548	50
989	4551	45
990	4554	41
991	4558	36
992	4562	32
993	4565	27
994	4568	22
995	4576	18
996	4580	13
997	4585	9
998	4592	4
999	4596	0
